Name,Availability,Ref,Discount,Image URL,Brand,Old Price,Price,product_url,Système d'exploitation,Mémoire,Garantie,Taille de l'écran,Type de Processeur,Disque Dur,Carte Graphique,Couleur,Store
"Pc Portable DELL Vostro 3510-i5 16Go 1135G7 1TB 15.6"" FHD",Sur Commande 48H,3510-i5-16G,nan,https://www.technopro-online.com/85473-thickbox_default/pc-portable-dell-vostro-3510-i5-16go.jpg,DELL,nan,1859000,https://www.technopro-online.com/pc-portable-dell-vostro-3510-i5-16go.html,Free Dos,16 Go,1 an,"15.6""",Intel Core I5,1 To,,Gris,OXtek
Pc portable HP 15s-eq3000nk AMD Ryzen 7 8Go 512Go SSD - Silver (6D6Y2EA),Sur commande 24H,6D6Y2EA,nan,https://www.technopro-online.com/91936-thickbox_default/hp-15s-eq3000nk-amd-ryzen-7-8go-512go-ssd.jpg,HP,nan,1859000,https://www.technopro-online.com/hp-15s-eq3000nk-amd-ryzen-7-8go-512go-ssd.html,Windows 11,8 Go,1 an,"15.6""",AMD Ryzen 7,512 Go SSD,AMD Radeon,Silver,OXtek
Pc Portable ACER Aspire 5 A515-56 i7 11è Gén 20Go 1To + 256Go SSD - Noir,sur commande 24h,NX.AT3EF.002-256-20,nan,https://www.technopro-online.com/93298-thickbox_default/acer-aspire-5-a515-56-i7-11e-gen-20go-1to-256go-ssd-noir.jpg,Acer,nan,1869000,https://www.technopro-online.com/acer-aspire-5-a515-56-i7-11e-gen-20go-1to-256go-ssd-noir.html,Free Dos,20 Go,1 an,"15.6""",Intel Core i7,1 To + 256 Go SSD,,Noir,OXtek
HP 15-dw3013nk i5 11è Gén 12Go 1To - Gris (2R0M5EA-12G),En Stock,2R0M5EA-12G,nan,https://www.technopro-online.com/79821-thickbox_default/hp-15-dw3013nk-i5-12go-2r0m5ea.jpg,HP,nan,1869000,https://www.technopro-online.com/hp-15-dw3013nk-i5-12go-2r0m5ea.html,Windows 10,12 Go,1 an,"15.6""",Intel Core I5,1 To,Graphique Intégrée,Gris,OXtek
PC Portable DELL Vostro 3530 I5-1335U 16 Go RAM 256 Go SSD,Sur commande 24H,N1808PVNB3530EMEA01-16,nan,https://www.technopro-online.com/99903-thickbox_default/pc-portable-dell-vostro-3530-i5-1335u16-go-ram-256-go-ssd.jpg,DELL,nan,1869000,https://www.technopro-online.com/pc-portable-dell-vostro-3530-i5-1335u16-go-ram-256-go-ssd.html,Windows 11 Pro,16 Go,1 an,"15.6""",Intel Core I5,,Graphique Intégrée,Noir,OXtek
Pc Portable Lenovo V15 G2 ITL - i5 11è Gén - 12 Go - MX350 2G - Noir,Sur commande 24 h,82KB0016FE-12,nan,https://www.technopro-online.com/80588-thickbox_default/-pc-portable-lenovo-v15-g2-itl-i5-11e-gen-12-go-mx350-2g-noir.jpg,LENOVO,nan,1869000,https://www.technopro-online.com/-pc-portable-lenovo-v15-g2-itl-i5-11e-gen-12-go-mx350-2g-noir.html,Free Dos,12 Go,1 an,"15.6""",Intel Core I5,1 To,,Noir,OXtek
Pc Portable Asus VivoBook 16 - I7 11370H - 16 GO - WIN11 - SILVER,sur commande 24h,R1605PA-MB169W-16,nan,https://www.technopro-online.com/93644-thickbox_default/pc-portable-asus-vivobook-16-i7-11370h-16-go-win11-silver.jpg,ASUS,nan,1879000,https://www.technopro-online.com/pc-portable-asus-vivobook-16-i7-11370h-16-go-win11-silver.html,Windows 11,16 Go,1 an,"16""",Intel Core i7,512 Go SSD,Graphique Intégrée,,OXtek
Ordinateur portable Asus ExpertBook B1500 i5 11ème Gén 24Go 256Go SSD - Bleu,Sur commande 24H,B1500CEAE-BQ2851-24,nan,https://www.technopro-online.com/92686-thickbox_default/ordinateur-asus-expertbook-b1500-i5-24go-256go-ssd-tunisie.jpg,ASUS,nan,1879000,https://www.technopro-online.com/ordinateur-asus-expertbook-b1500-i5-24go-256go-ssd-tunisie.html,Free Dos,24 Go,2 ans,"15.6""",Intel Core I5,256 Go SSD,Graphique Intégrée,Bleu,OXtek
PC Portable ASUS X515EP i5 11è Gén 16G 512Go SSD - Bleu,sur commande 24h,X515EP-BQ601W-16G,nan,https://www.technopro-online.com/93988-thickbox_default/pc-portable-asus-x515ep-i5-11e-gen-16g-512go-ssd-bleu.jpg,ASUS,nan,1879000,https://www.technopro-online.com/pc-portable-asus-x515ep-i5-11e-gen-16g-512go-ssd-bleu.html,Windows 11,16 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,,Bleu,OXtek
Pc portable Lenovo IdeaPad 3 i5 11Gén 8Go 512 Go SSD - Gris (82H8039KFG),Sur commande 24H,82H8039KFG,nan,https://www.technopro-online.com/90567-thickbox_default/pc-portable-lenovo-ideapad-3-i5-11gen-8go-512go-gris-82h8039kfg.jpg,LENOVO,nan,1879000,https://www.technopro-online.com/pc-portable-lenovo-ideapad-3-i5-11gen-8go-512go-gris-82h8039kfg.html,Windows 11,8 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,,Gris,OXtek
